New Releases For 1/2/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. Click here for a complete list of this week's Digital New Releases. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

NOV120004 	PREVIEWS #292 JAN 2013 CUSTOMER ORDER FORM 	PI
OCT120689 	DARK TOWER GUNSLINGER PREM HC MAN IN BLACK 	$24.99
NOV120756 	FURY MAX #8 (MR) 	$3.99
NOV120685 	IRON MAN #5 NOW 	$3.99
NOV120743 	MARVELS IRON MAN 3 PRELUDE #1 	$2.99
NOV120735 	MONSTERS INC #2 	$2.99
NOV120653 	MORBIUS LIVING VAMPIRE #1 NOW 	$2.99
NOV120625 	NEW AVENGERS #1 NOW 	$3.99
OCT120705 	NOVA CLASSIC TP VOL 01 	$29.99
OCT120699 	OZ DOROTHY AND WIZARD IN OZ GN TP 	$19.99
NOV120720 	PUNISHER NIGHTMARE #1 	$3.99
NOV120703 	RED SHE-HULK #61 NOW 	$2.99
NOV120745 	ROAD TO OZ #4 	$3.99
OCT120693 	STAND TP VOL 05 NO MANS LAND 	$19.99
NOV120711 	ULTIMATE COMICS SPIDER-MAN #19 	$3.99
NOV120706 	VENOM #29 	$2.99

COMICS & GRAPHIC NOVELS

OCT120941 	ADVENTURE TIME #1 SDCC GET A SKETCH CVR 	$9.99
NOV120957 	ADVENTURE TIME FIONNA & CAKE #1 MAIN CVR [DIG] 	$3.99
OCT120942 	ADVENTURE TIME MARCELINE SCREAM QUEENS #1 SDCC GET A SKETCH 	$9.99
JUL121242 	ANTI #3 	$3.99
OCT120762 	ARCHIE DOUBLE DIGEST #236 [DIG/P+] 	$3.99
OCT120868 	BART SIMPSON COMICS #78 	$2.99
SEP120957 	BLAKE & MORTIMER GN VOL 06 SOS METEORS 	$15.95
OCT120962 	BLAKE & MORTIMER GN VOL 07 AFFAIR OF THE NECKLACE 	$15.95
OCT121253 	BLEACH TP VOL 54 	$9.99
JUL121127 	CAGE OF EDEN GN VOL 08 	$10.99
NOV120836 	CALVIN & HOBBES 10TH ANNIV BOOK NEW PTG 	$16.99
NOV120829 	CALVIN & HOBBES HOMICIDAL PSYCHO JUNGLE CAT SC NEW PTG 	$16.99
NOV120835 	CALVIN & HOBBES INDISPENSABLE SC NEW PTG 	$18.99
NOV120833 	CALVIN & HOBBES LAZY SUNDAY BOOK SC NEW PTG 	$12.99
NOV120825 	CALVIN & HOBBES REVENGE O/T BABY SAT TP NEW PTG 	$12.99
NOV120822 	CALVIN & HOBBES SOMETHING UNDER BED IS DROOLING 	$12.99
NOV120837 	CALVIN AND HOBBES SUNDAY PAGES SC 1985 -1995 NEW PTG 	$16.99
SEP121045 	CARAMEL GN (MR) 	$12.95
NOV120813 	CAVEWOMAN 2012 PITTSBURGH COMICCON SGN SKETCHBOOK (MR) 	PI
SEP120958 	CHIMPANZEE COMPLEX GN VOL 01 PARADOX 	$13.95
OCT120963 	CHIMPANZEE COMPLEX GN VOL 02 SONS OF ARES 	$13.95
JUN121290 	COMP FLASH GORDON LIBRARY HC VOL 02 TYRANT OF MONGO (RES) 	$39.95
AUG121248 	COMPLETE PERSEPOLIS SATRAPI SGN BOOKPLATE ED TP 	$24.95
NOV121314 	CONNIE TP MENACE OF MO TUNG 	$14.95
NOV121315 	CONNIE TP UNSEEN AVENGER 	$14.95
NOV121272 	DALEN & GOLE SCANDAL IN PORT ANGUS GN 	$9.95
OCT128292 	DAMSELS #1 2ND PTG 	$3.99
OCT121010 	DAMSELS #4 	$3.99
OCT121258 	DENGEKI DAISY GN VOL 11 	$9.99
SEP121057 	DF MASKS #1 SYAF RED EXC CVR 	$14.99
MAY121115 	DF WARLORD OF MARS #22 RISQUE RED CVR 	$14.99
AUG121099 	DF WARLORD OF MARS DEJAH THORIS #19 RISQUE RED EXC (MR) 	$14.99
JUL120739 	DONARR UNYIELDING TP 	$7.99
NOV120811 	EVEN THE GIANTS GN (MR) 	$9.95
JUN120839 	FATHOM VOL 4 #8 CVR A KONAT 	$3.50
JUN120840 	FATHOM VOL 4 #8 CVR B DEBALFO 	$3.50
APR121046 	FLASH GORDON ZEITGEIST #8 	$3.99
OCT121296 	FLY VOL II #3 A CVR GARZA (MR) 	$2.99
OCT121297 	FLY VOL II #3 B CVR ERIC J (MR) 	$2.99
NOV121197 	FOILED GN 	$15.99
SEP120765 	GEARHEARTS STEAMPUNK GLAMOR REVUE #5 	$3.99
OCT121288 	GFT SLEEPY HOLLOW #3 A CVR TBD (MR) 	$2.99
OCT121289 	GFT SLEEPY HOLLOW #3 B CVR TRIANO (MR) 	$2.99
SEP121167 	GLITTER KISS GN 	$15.99
SEP120762 	GOLD DIGGER #145 [DIG] 	$3.99
SEP121294 	GRIMM UNIVERSE #2 RED RIDING HOOD (MR) 	$3.99
AUG120788 	GUNNERKRIGG COURT HC LEATHER BOUND VOL 01 ORIENTATION 	$53.95
OCT120831 	HERO WORSHIP #6 	$3.99
OCT120832 	HERO WORSHIP #6 WRAP CVR 	$3.99
OCT121248 	HEROMAN GN VOL 02 	$10.95
OCT121264 	HUNTER X HUNTER TP VOL 29 	$9.99
OCT120907 	HYPERNATURALS #1 SDCC EXCLUSIVE CVR 	$9.99
NOV120999 	HYPERNATURALS #7 MAIN CVRS [DIG] 	$3.99
SEP121046 	IVE SEEN IT ALL GN VOL 02 (MR) 	$12.95
OCT121257 	JIU JIU GN VOL 03 	$9.99
AUG120789 	KILLER HC VOL 01 LEATHER BOUND ED (MR) 	$39.95
OCT120860 	KNIGHTINGAIL TP VOL 01 LEGEND BEGINS 	$16.99
SEP121133 	KNIGHTS OF THE DINNER TABLE #193 	$5.99
NOV121041 	LEONARD STARRS MARY PERKINS ON STAGE TP VOL 10 	$24.95
SEP121047 	LOVE MAKES EVERYTHING RIGHT GN (MR) 	$12.95
SEP120959 	LUCKY LUKE TP VOL 17 APACHE CANYON 	$11.95
SEP120960 	LUCKY LUKE TP VOL 18 ESCORT 	$11.95
OCT120964 	LUCKY LUKE TP VOL 19 ON THE DALTONS TRAIL 	$11.95
OCT120965 	LUCKY LUKE TP VOL 20 OKLAHOMA LAND RUSH 	$11.95
OCT121262 	MR STRONG GOOD THING I CAME ALONG GN 	$6.99
OCT120850 	NIGHT O/T LIVING DEAD AFTERMATH #3 (MR) 	$3.99
OCT120852 	NIGHT O/T LIVING DEAD AFTERMATH #3 GORE CVR (MR) 	$3.99
OCT120851 	NIGHT O/T LIVING DEAD AFTERMATH #3 WRAP CVR (MR) 	$3.99
SEP121048 	NINTH LIFE LOVE GN 	$12.95
SEP120961 	ORBITAL GN VOL 01 SCARS 	$11.95
OCT120966 	ORBITAL GN VOL 02 RUPTURES 	$11.95
OCT121266 	ORESAMA TEACHER GN VOL 12 	$9.99
OCT121267 	OTOMEN GN VOL 14 	$9.99
OCT120919 	PEANUTS #1 SDCC EXCLUSIVE CVR 	$9.99
NOV120990 	PLANET O/T APES CATACLYSM #5 MAIN CVRS [DIG] 	$3.99
OCT121254 	PSYREN GN VOL 08 	$9.99
OCT120734 	PUNK ROCK & TRAILER PARKS GN 	$15.95
MAY121090 	QUEEN SONJA #33 	$3.99
OCT120972 	RED TEN #1 (MR) 	$3.99
OCT120870 	SIMPSONS SUPER SPECTACULAR #16 	$2.99
OCT120967 	SPOOKS GN VOL 01 FALL OF BABYLON 	$13.95
